Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Morante Primitivo di Manduria 2019,2019,189.95,4.3,Italy,Red wine,75.7352,49.052,10.328,https://www.vivino.com/DK/en/la-pruina-morante-primitivo-di-manduria/w/6331050?year=2019&price_id=24750531
Secret de Schistes 2018,2018,199,4.3,France,Red wine,70.3895,13.9727,62.4197,https://www.vivino.com/DK/en/chateau-de-lou-22586-secret-de-schistes/w/1449462?year=2018&price_id=24521605
Schlatter Maltesergarten Spätburgunder 2018,2018,199.95,4.3,Germany,Red wine,9.91996,7.38627,72.5749,https://www.vivino.com/DK/en/martin-wassmer-schlatter-maltesergarten-spatburgunder/w/1988184?year=2018&price_id=24422284
Barbera d'Alba Superiore 2017,2017,119,4.3,Italy,Red wine,56.413,10.5638,62.2581,https://www.vivino.com/DK/en/tenuta-barac-barbera-d-alba-superiore/w/6181998?year=2017&price_id=24667978
Morellino di Scansano Riserva 2018,2018,149,4.3,Italy,Red wine,48.5844,6.45795,46.7607,https://www.vivino.com/DK/en/fattoria-le-pupille-morellino-di-scansano-riserva/w/82693?year=2018&price_id=24045845
Gigondas 2019,2019,171.75,4.3,France,Red wine,65.7338,12.0188,52.0912,https://www.vivino.com/DK/en/palon-gigondas/w/1171322?year=2019&price_id=23863229
Agrestis Nebbiolo d'Alba Superiore 2018,2018,179,4.3,Italy,Red wine,65.7384,5.24634,83.8677,https://www.vivino.com/DK/en/gian-piero-marrone-agrestis-nebbiolo-d-alba-superiore-langhe/w/1312499?year=2018&price_id=24261185
The Chocolate Block 2017,2017,199.95,4.2,South Africa,Red wine,0,0,0,https://www.vivino.com/DK/en/boekenhoutskloof-the-chocolate-block/w/1128252?year=2017&price_id=22681709
The Chocolate Block 2016,2016,199.95,4.2,South Africa,Red wine,0,0,0,https://www.vivino.com/DK/en/boekenhoutskloof-the-chocolate-block/w/1128252?year=2016&price_id=22681707
Cabernet Franc 2014,2014,149.95,4.2,Argentina,Red wine,0,0,0,https://www.vivino.com/DK/en/el-enemigo-cabernet-franc/w/2342297?year=2014&price_id=22777775
Cuvée Vieilles Vignes 2019,2019,79,4.2,France,Red wine,67.0883,23.5099,62.936,https://www.vivino.com/DK/en/cabalie-cuvee-vieilles-vignes/w/2011418?year=2019&price_id=22210143
Côtes Catalanes 2019,2019,67,4.2,France,Red wine,65.888,24.278,60.9761,https://www.vivino.com/DK/en/cabalie-cotes-catalanes/w/1165659?year=2019&price_id=22330356
Old Vine Malbec 2015,2015,159.95,4.2,Argentina,Red wine,67.2415,17.9924,33.2745,https://www.vivino.com/DK/en/luca-old-vine-malbec-valle-de-uco/w/74338?year=2015&price_id=22681798
Tinto 2018,2018,139,4.2,Spain,Red wine,65.0121,10.2087,61.0564,https://www.vivino.com/DK/en/emilio-moro-tinto/w/1386686?year=2018&price_id=23271445
Amaranta Montepulciano d'Abruzzo 2017,2017,159.95,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/tenuta-ulisse-amaranta-montepulciano-d-abruzzo/w/1214739?year=2017&price_id=23277729
Jumilla Blue Label 2017,2017,199,4.2,Spain,Red wine,70.035,17.802,43.035,https://www.vivino.com/DK/en/juan-gil-jumilla-blue-label/w/1713612?year=2017&price_id=20868703
De Sangre 2013,2013,154.95,4.2,Argentina,Red wine,0,0,0,https://www.vivino.com/DK/en/luigi-bosca-de-sangre/w/1252903?year=2013&price_id=23014577
Mea Culpa Rosso N.V.,9999,129,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/cantine-francesco-minini-mea-culpa-rosso/w/5594845?price_id=24445620
Rioja Reserva 2012,2012,159,4.2,Spain,Red wine,62.7166,10.288,61.5964,https://www.vivino.com/DK/en/valenciso-rioja-reserva/w/1171210?year=2012&price_id=20156902
Single Vineyard Tannat 2017,2017,199.95,4.2,Uruguay,Red wine,85,11.849,62.283,https://www.vivino.com/DK/en/bodega-garzon-single-vineyard-tannat-maldonado-red-wine/w/5362375?year=2017&price_id=22682447
Blu Onice Aglianico Irpinia 2017,2017,99.95,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/nativ-blu-onice-aglianico-irpinia/w/3521385?year=2017&price_id=21364369
Gocce Primitivo di Manduria 2016,2016,129,4.2,Italy,Red wine,68.0015,52.8646,10.1702,https://www.vivino.com/DK/en/feudi-salentini-gocce-primitivo-di-manduria/w/2835177?year=2016&price_id=21130628
Numina Gran Corte 2017,2017,169,4.2,Argentina,Red wine,0,0,0,https://www.vivino.com/DK/en/salentein-numina-gran-corte/w/9997?year=2017&price_id=24352745
Suadens Campania Rosso 2018,2018,129,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/nativ-suadens-campania-rosso-campania/w/6145317?year=2018&price_id=23339324
Eremo San Quirico 2017,2017,129,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/nativ-eremo-san-quirico/w/1510255?year=2017&price_id=23236285
Reserva Selección de la Familia 2015,2015,180,4.2,Spain,Red wine,66.6768,10.5165,59.1389,https://www.vivino.com/DK/en/luis-canas-reserva-seleccion-de-la-familia/w/1994535?year=2015&price_id=22570672
1 Uno Primitivo di Manduria Riserva 2017,2017,125,4.2,Italy,Red wine,69.5014,40.9795,12.9408,https://www.vivino.com/DK/en/la-volpe-one-uno-primitivo-di-manduria-riserva/w/6404545?year=2017&price_id=23587858
(B) Old Vine Zinfandel Lodi 2018,2018,145,4.2,United States,Red wine,85,31.7619,10.682,https://www.vivino.com/DK/en/brazin-b-old-vine-zinfandel-lodi/w/1122620?year=2018&price_id=23436867
Inici 2017,2017,155,4.2,Spain,Red wine,83.1722,14.4505,50.0976,https://www.vivino.com/DK/en/merum-priorati-inici/w/3599149?year=2017&price_id=24554612
Douro Tinto (Colheita Unoaked) 2019,2019,115,4.2,Portugal,Red wine,76.6366,14.1779,41.6066,https://www.vivino.com/DK/en/quinta-nova-de-nossa-senhora-do-carmo-douro-tinto-colheita-unoaked/w/1274033?year=2019&price_id=24310748
Ribera del Duero Red 2016,2016,199,4.2,Spain,Red wine,67.4375,15.8565,59.7965,https://www.vivino.com/DK/en/montecastro-ribera-del-duero-red/w/1101258?year=2016&price_id=22731968
Quercegobbe Merlot (Querce Gobbe) 2016,2016,199,4.2,Italy,Red wine,51.2606,15.2099,44.4111,https://www.vivino.com/DK/en/petra-quercegobbe-merlot-querce-gobbe/w/7157?year=2016&price_id=20348148
Messaggero Vino Nobile di Montepulciano 2015,2015,175,4.2,Italy,Red wine,57.1521,5.23791,67.0578,https://www.vivino.com/DK/en/montemercurio-messaggero-vino-nobile-di-montepulciano/w/1275482?year=2015&price_id=24091579
Rioja Reserva 2014,2014,199,4.2,Spain,Red wine,62.7166,10.288,61.5964,https://www.vivino.com/DK/en/valenciso-rioja-reserva/w/1171210?year=2014&price_id=23022404
Korem Bovale Isola dei Nuraghi 2016,2016,199,4.2,Italy,Red wine,80.197,20.8266,32.5024,https://www.vivino.com/DK/en/argiolas-korem-bovale-isola-dei-nuraghi/w/7365831?year=2016&price_id=20418947
Simbiosi Toscana 2015,2015,199,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/bindi-sergardi-simbiosi-toscana/w/2619541?year=2015&price_id=23127346
Zotikos Rosso 2017,2017,179,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/it-corte-medicea-zotikos-rosso-bolgheri/w/5825081?year=2017&price_id=23953223
Rocksand Shiraz 2019,2019,79,4.2,Portugal,Red wine,68.8742,18.7048,40.6185,https://www.vivino.com/DK/en/casa-ermelinda-freitas-rocksand-shiraz-terras-do-sado/w/5837811?year=2019&price_id=24128450
Rosignol Vino Rosso 2016,2016,139,4.2,Italy,Red wine,70.2166,20.6508,27.8565,https://www.vivino.com/DK/en/it-pietro-zardini-rosignol-vino-rosso/w/1733949?year=2016&price_id=19764782
Tohuwabohu 2017,2017,199,4.2,Germany,Red wine,0,0,0,https://www.vivino.com/DK/en/schneider-tohuwabohu/w/1202961?year=2017&price_id=23766573
Messaggero Vino Nobile di Montepulciano 2010,2010,175,4.2,Italy,Red wine,57.1521,5.23791,67.0578,https://www.vivino.com/DK/en/montemercurio-messaggero-vino-nobile-di-montepulciano/w/1275482?year=2010&price_id=24091467
Flétris 2019,2019,79.95,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/montemajor-fletris/w/6168721?year=2019&price_id=24271936
Touch of Oak Pinotage 2017,2017,125,4.2,South Africa,Red wine,63.8539,12.0376,37.6609,https://www.vivino.com/DK/en/za-rijks-touch-of-oak-pinotage/w/2309549?year=2017&price_id=24015419
Sousão 2017,2017,199.95,4.2,Portugal,Red wine,84.7334,9.24745,48.6171,https://www.vivino.com/DK/en/quinta-do-vallado-sousao/w/16965?year=2017&price_id=22683559
Zarihs Syrah 2017,2017,129,4.2,Spain,Red wine,0,0,0,https://www.vivino.com/DK/en/borsao-bodegas-zarihs-syrah/w/4399827?year=2017&price_id=24284226
Prima Pietra 2017,2017,199,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/tenuta-prima-pietra-prima-pietra/w/1315181?year=2017&price_id=24181783
Contrada del Falco 2017,2017,105,4.2,Italy,Red wine,81.9511,26.1135,21.6401,https://www.vivino.com/DK/en/san-donaci-contrada-del-falco/w/1155652?year=2017&price_id=23251998
Peiragal Barbera d'Alba 2018,2018,149,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/marchesi-di-barolo-peiragal-barbera-d-alba-barbera-dalba/w/4343180?year=2018&price_id=24546802
La Côte Sauvage Cairanne 2017,2017,185,4.2,France,Red wine,64.9223,8.59662,51.4367,https://www.vivino.com/DK/en/boutinot-la-cote-sauvage-cairanne/w/1227890?year=2017&price_id=23029153
Brunello di Montalcino 2016,2016,149.95,4.2,Italy,Red wine,46.0201,3.75875,60.9807,https://www.vivino.com/DK/en/camigliano-brunello-di-montalcino/w/1144799?year=2016&price_id=23539726
Chianti Classico Gran Selezione 2011,2011,180,4.2,Italy,Red wine,49.4156,10.5157,61.4388,https://www.vivino.com/DK/en/tolaini-chianti-classico-gran-selezione/w/3821513?year=2011&price_id=24091592
Lagrein Riserva Gries 2018,2018,169.95,4.2,Italy,Red wine,64.3841,17.0774,30.3567,https://www.vivino.com/DK/en/terlan-terlano-lagrein-riserva-gries/w/1211120?year=2018&price_id=23036345
Pinotage - Syrah 2014,2014,189,4.2,South Africa,Red wine,83.4048,5.2281,41.6238,https://www.vivino.com/DK/en/za-rijks-pinotage-syrah-tulbagh/w/5608997?year=2014&price_id=24856671
Viñas Jóvenes 2016,2016,189,4.2,Spain,Red wine,60.0113,11.9901,54.8557,https://www.vivino.com/DK/en/miguel-merino-vinas-jovenes/w/1213064?year=2016&price_id=23163668
Veraton Garnacha 2018,2018,195,4.2,Spain,Red wine,85,13.0635,44.8279,https://www.vivino.com/DK/en/alto-moncayo-veraton-garnacha/w/98783?year=2018&price_id=23411047
Director's Cut Shiraz 2018,2018,199,4.2,Australia,Red wine,85,21.715,41.6361,https://www.vivino.com/DK/en/heartland-wines-pty-ltd-director-s-cut-shiraz/w/2042?year=2018&price_id=24249156
Haut-Médoc 2018,2018,110,4.2,France,Red wine,73.859,6.38534,66.7369,https://www.vivino.com/DK/en/chateau-plantey-de-lieujean-haut-medoc/w/1223963?year=2018&price_id=24124708
Vigne Vecchie Gold Series Leggenda Primitivo di Manduria 2018,2018,169,4.2,Italy,Red wine,70.7551,43.0481,14.9105,https://www.vivino.com/DK/en/vigneti-del-salento-vigne-vecchie-gold-series-leggenda-primitivo-di-manduria-primitivo-di-manduria-red-wine/w/6741558?year=2018&price_id=24636350
Bicento 2017,2017,165,4.2,Italy,Red wine,0,0,0,https://www.vivino.com/DK/en/nativ-bicento/w/5354720?year=2017&price_id=24152217
Sancerre Rouge 2018,2018,139,4.2,France,Red wine,30.5468,0.0001,73.4253,https://www.vivino.com/DK/en/domaine-hippolyte-reverdy-sancerre-rouge/w/4299081?year=2018&price_id=24335120
Prova d'Autore 2016,2016,139,4.2,Italy,Red wine,46.715,5.55214,44.4861,https://www.vivino.com/DK/en/cantina-roccafiore-prova-d-autore/w/1222677?year=2016&price_id=24421855
Las Sabias 2017,2017,199,4.2,Spain,Red wine,76.7662,15.9993,35.7848,https://www.vivino.com/DK/en/dominio-del-bendito-las-sabias/w/1205497?year=2017&price_id=24029110
Saint-Émilion Grand Cru 2018,2018,149,4.2,France,Red wine,0,0,0,https://www.vivino.com/DK/en/chateau-de-saint-pey-saint-emilion-grand-cru/w/2288542?year=2018&price_id=24729134
Bourgogne Gamay Vieilles Vignes 2016,2016,159.95,4.2,France,Red wine,33.5103,1.38699,66.8082,https://www.vivino.com/DK/en/labruyere-bourgogne-gamay-vieilles-vignes-bourgogne/w/6251562?year=2016&price_id=23232997
