Name,Year,Price,Rating,Country,Winetype,Boldness,Sweetness,Acidity,Link
Sauternes (Premier Grand Cru Classé) 2014,2014,399,4.2,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2014&price_id=15348929
Symphonie de Novembre Jurançon 2015,2015,229.95,4.2,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/cauhape-symphonie-de-novembre-jurancon/w/18800?year=2015&price_id=23014733
Barsac (Premier Grand Cru Classé) 2012,2012,639.95,4.2,France,Dessert wine,84.8277,85,76.7038,https://www.vivino.com/DK/en/chateau-climens-barsac-premier-grand-cru-classe/w/16786?year=2012&price_id=24455267
Sauternes Barsac (Premier Grand Cru Classé) 2017,2017,250,4.2,France,Dessert wine,85,85,76.3473,https://www.vivino.com/DK/en/coutet-sauternes-barsac-premier-grand-cru-classe/w/2677769?year=2017&price_id=24117663
Côteaux du Layon Carte d'Or 2016,2016,159.95,4.2,France,Dessert wine,44.4526,56.6872,54.4731,https://www.vivino.com/DK/en/domaine-des-baumard-coteaux-du-layon-carte-d-or/w/1126369?year=2016&price_id=23015065
Vouvray Le Haut-Lieu Moelleux Première Trie 2003,2003,519.95,4.2,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/huet-vouvray-le-haut-lieu-moelleux-premiere-trie/w/2404044?year=2003&price_id=15564121
Josefina Piñol 2014,2014,299,4.2,Spain,Dessert wine,0,0,0,https://www.vivino.com/DK/en/pinol-josefina-pinol/w/1514537?year=2014&price_id=23501970
Petali di Rosa Brachetto d'Acqui 2018,2018,129,4.2,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/torelli-petali-di-rosa-brachetto-d-acqui/w/4540458?year=2018&price_id=18393851
Passito Bianco delle Fontane 2014,2014,249,4.2,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/pra-passito-bianco-delle-fontane/w/4250019?year=2014&price_id=16718981
Francesca Finato Recioto della Valpolicella Classico 2011,2011,249,4.2,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/villa-spinosa-francesca-finato-recioto-della-valpolicella-classico/w/1436269?year=2011&price_id=20759788
Gewürztraminer Vendange Tardive 2012,2012,269,4.2,France,Dessert wine,64.0288,55.9498,22.956,https://www.vivino.com/DK/en/hugel-gewurztraminer-vendange-tardive/w/1708606?year=2012&price_id=21468450
Roussilliere Doux 2018,2018,199,4.2,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/domaine-yves-cuilleron-roussilliere-doux/w/1734903?year=2018&price_id=23501966
Sauternes 2016,2016,159,4.1,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/grillon-sauternes/w/1196718?year=2016&price_id=24604901
Sauternes Barsac (Premier Grand Cru Classé) 2008,2008,349,4.1,France,Dessert wine,85,85,76.3473,https://www.vivino.com/DK/en/coutet-sauternes-barsac-premier-grand-cru-classe/w/2677769?year=2008&price_id=20568853
Sauternes 2016,2016,259,4.1,France,Dessert wine,84.9299,85,74.7644,https://www.vivino.com/DK/en/fr-chateau-gravas-sauternes/w/1751386?year=2016&price_id=20818578
Barsac (Grand Cru Classé) 2016,2016,549,4.1,France,Dessert wine,85,85,75.6657,https://www.vivino.com/DK/en/fr-chateau-doisy-daene-barsac-grand-cru-classe/w/1838753?year=2016&price_id=20480479
Sauternes 2015,2015,325,4.1,France,Dessert wine,84.3881,85,77.449,https://www.vivino.com/DK/en/chateau-les-justices-sauternes/w/1109269?year=2015&price_id=20635066
Epitome Late Harvest Riesling 2016,2016,129,4.1,Australia,Dessert wine,0,0,0,https://www.vivino.com/DK/en/longview-vineyard-epitome-late-harvest-riesling/w/1584979?year=2016&price_id=12607564
Myriad 2009,2009,150,4.1,South Africa,Dessert wine,0,0,0,https://www.vivino.com/DK/en/catherine-marshall-myriad/w/2863278?year=2009&price_id=23572742
Vieilles Vignes Chenin Moelleux 2017,2017,159,4.1,France,Dessert wine,19.266,17.5957,73.0957,https://www.vivino.com/DK/en/fr-chateau-de-fesles-vieilles-vignes-chenin-moelleux/w/4460453?year=2017&price_id=20446922
Recioto della Valpolicella Classico 2015,2015,219,4.1,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/it-pietro-zardini-recioto-della-valpolicella-classico/w/1158836?year=2015&price_id=20759786
Montefalco Sagrantino Passito 2011,2011,499,4.1,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/fattoria-di-milziade-antano-montefalco-sagrantino-passito/w/2658842?year=2011&price_id=22780247
Sauternes 2016,2016,240,4.1,France,Dessert wine,78.2317,85,80.7287,https://www.vivino.com/DK/en/chateau-de-l-ecole-sauternes/w/1841460?year=2016&price_id=22802456
Ballet d'Octobre Jurançon 2016,2016,159.95,4.0,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/cauhape-ballet-d-octobre-jurancon/w/20906?year=2016&price_id=23014619
Beerenauslese Terrassen 2017,2017,199,4.0,Austria,Dessert wine,0,0,0,https://www.vivino.com/DK/en/domane-wachau-beerenauslese-terrassen/w/1215566?year=2017&price_id=15632113
Loupiac 2016,2016,149,4.0,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/chateau-loupiac-gaudiet-loupiac/w/1108987?year=2016&price_id=20517953
Symphonie de Novembre Jurançon 2014,2014,229.95,4.0,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/cauhape-symphonie-de-novembre-jurancon/w/18800?year=2014&price_id=24396168
Recioto della Valpolicella Classico 2016,2016,169,4.0,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/brigaldara-recioto-della-valpolicella-classico/w/1643077?year=2016&price_id=24649144
Recioto della Valpolicella Classico 2015,2015,119,4.0,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/antolini-recioto-della-valpolicella-classico/w/1159855?year=2015&price_id=23500711
Sauternes (Premier Grand Cru Classé) 2015,2015,195,4.0,France,Dessert wine,85,85,75.4416,https://www.vivino.com/DK/en/clos-haut-peyraguey-sauternes-premier-grand-cru-classe/w/1837980?year=2015&price_id=24247615
No. 1 Seleccion Especial 2015,2015,149,4.0,Spain,Dessert wine,0,0,0,https://www.vivino.com/DK/en/jorge-ordonez-and-co-no-1-seleccion-especial/w/1618793?year=2015&price_id=18488048
Amatus Dulce 2015,2015,129,4.0,Spain,Dessert wine,0,0,0,https://www.vivino.com/DK/en/bleda-amatus-dulce/w/1979194?year=2015&price_id=22732480
Ethos Reserve Late Harvest Riesling 2015,2015,299,4.0,United States,Dessert wine,0,0,0,https://www.vivino.com/DK/en/chateau-ste-michelle-ethos-reserve-late-harvest-riesling/w/1455?year=2015&price_id=16403515
Sauternes (Premier Grand Cru Classé) 2011,2011,899.95,3.9,France,Dessert wine,85,85,76.3752,https://www.vivino.com/DK/en/chateau-rieussec-sauternes-premier-grand-cru-classe/w/1135215?year=2011&price_id=24455256
Carmes de Rieussec Sauternes 2015,2015,225,3.9,France,Dessert wine,85,85,75.8064,https://www.vivino.com/DK/en/chateau-rieussec-carmes-de-rieussec-sauternes/w/1189369?year=2015&price_id=17697850
Petit Guiraud Sauternes 2016,2016,199,3.9,France,Dessert wine,85,85,76.6258,https://www.vivino.com/DK/en/chateau-guiraud-petit-guiraud-sauternes/w/1221593?year=2016&price_id=18016505
Cuvee Flavie Semillon - Chenin Saussignac 2015,2015,130,3.9,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/des-eyssards-cuvee-flavie-semillon-chenin-saussignac/w/1742392?year=2015&price_id=23761104
Dulce Corazón Blanco 2016,2016,89,3.9,Spain,Dessert wine,0,0,0,https://www.vivino.com/DK/en/es-iniesta-dulce-corazon-blanco/w/1600762?year=2016&price_id=20759789
Ethos Reserve Late Harvest Riesling 2014,2014,299,3.9,United States,Dessert wine,0,0,0,https://www.vivino.com/DK/en/chateau-ste-michelle-ethos-reserve-late-harvest-riesling/w/1455?year=2014&price_id=8839957
Coteaux du Layon 2019,2019,210,3.9,France,Dessert wine,40.1984,55.8498,50.3908,https://www.vivino.com/DK/en/de-la-roulerie-coteaux-du-layon/w/1131343?year=2019&price_id=23021735
Lions de Suduiraut Sauternes 2011,2011,439.95,3.8,France,Dessert wine,85,85,76.2833,https://www.vivino.com/DK/en/chateau-suduiraut-lions-de-suduiraut-sauternes/w/1320155?year=2011&price_id=24455258
Beerenauslese 2015,2015,125,3.8,Austria,Dessert wine,0,0,0,https://www.vivino.com/DK/en/esterhazy-beerenauslese/w/96415?year=2015&price_id=18153383
Les Brumes de La Tour Blanche Sauternes 2016,2016,100,3.8,France,Dessert wine,81.3183,85,71.7544,https://www.vivino.com/DK/en/la-tour-blanche-les-brumes-de-la-tour-blanche-sauternes/w/2663277?year=2016&price_id=24117608
Muscat Late Harvest 2017,2017,99,3.8,Australia,Dessert wine,0,0,0,https://www.vivino.com/DK/en/brown-brothers-muscat-late-harvest/w/1181696?year=2017&price_id=15838619
Seewinkel Beerenauslese 2011,2011,154.95,3.8,Austria,Dessert wine,0,0,0,https://www.vivino.com/DK/en/velich-seewinkel-beerenauslese/w/1167354?year=2011&price_id=23014588
Loupiac 2015,2015,109,3.8,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/de-ricaud-loupiac/w/1134023?year=2015&price_id=20150512
Oppenheim Herrenberg Riesling Auslese 2014,2014,169,3.8,Germany,Dessert wine,39.363,58.5848,77.2826,https://www.vivino.com/DK/en/louis-guntrum-oppenheim-herrenberg-riesling-auslese/w/1781795?year=2014&price_id=270197
Sainte-Croix-du-Mont 2018,2018,114.95,3.8,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/le-pin-sacriste-sainte-croix-du-mont/w/1127730?year=2018&price_id=24455317
Furmint Late Harvest 2016,2016,149,3.8,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/hu-chateau-dereszla-furmint-late-harvest/w/1622897?year=2016&price_id=23225281
Muscat - Flora Orange 2014,2014,99,3.7,Australia,Dessert wine,0,0,0,https://www.vivino.com/DK/en/brown-brothers-muscat-flora-orange/w/23771?year=2014&price_id=23196308
Vendanges d'Autrefois Saussignac 2016,2016,100,3.7,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/les-vignerons-de-sigoules-vendanges-dautrefois-saussignac/w/1233356?year=2016&price_id=18492233
Vintage 2016,2016,130,3.7,Denmark,Dessert wine,0,0,0,https://www.vivino.com/DK/en/frederiksdal-vintage/w/1296846?year=2016&price_id=23455048
Beerenauslese 2016,2016,129,3.7,Germany,Dessert wine,0,0,0,https://www.vivino.com/DK/en/roman-graeff-beerenauslese-pfalz/w/5554494?year=2016&price_id=17581240
Botrytis Semillon 2017,2017,185,3.6,Australia,Dessert wine,0,0,0,https://www.vivino.com/DK/en/peter-lehmann-botrytis-semillon/w/1469836?year=2017&price_id=19800650
Sauternes 1990,1990,2995,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1990&price_id=841029
Sauternes 2001,2001,1395,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2001&price_id=23591605
Sauternes 1989,1989,2995,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1989&price_id=5403558
Sauternes 2015,2015,0,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2015&price_id=18457289
Sauternes 2017,2017,2999,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2017&price_id=24291089
Recioto della Valpolicella Classico 2007,2007,0,4.8,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/quintarelli-giuseppe-recioto-della-valpolicella-classico/w/1187205?year=2007&price_id=23706735
Imperium Aszú Eszencia 2000,2000,0,4.8,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/hu-chateau-dereszla-imperium-aszu-eszencia/w/1945486?year=2000&price_id=12295620
Sauternes 1959,1959,10995,4.8,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1959&price_id=1788432
Eszencia 2005,2005,0,4.8,Hungary,Dessert wine,0,0,0,https://www.vivino.com/DK/en/oremus-eszencia/w/77178?year=2005&price_id=13525780
Vin Santo di Montepulciano 1997,1997,0,4.8,Italy,Dessert wine,0,0,0,https://www.vivino.com/DK/en/avignonesi-vin-santo-di-montepulciano/w/1213?year=1997&price_id=15372385
Pinot Gris Alsace Rotenberg Sélection de Grains Nobles 2008,2008,0,4.8,France,Dessert wine,0,0,0,https://www.vivino.com/DK/en/domaine-zind-humbrecht-pinot-gris-alsace-rotenberg-selection-de-grains-nobles/w/82300?year=2008&price_id=22441546
Sauternes 1999,1999,1395,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1999&price_id=17340539
Sauternes 1997,1997,1395,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1997&price_id=23695767
Sauternes 2002,2002,2750,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2002&price_id=8467467
Sauternes 2004,2004,2750,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2004&price_id=4395017
Sauternes 1988,1988,2995,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1988&price_id=4560815
Sauternes 2011,2011,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2011&price_id=3666043
Sauternes 2007,2007,2495,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2007&price_id=3665976
Sauternes 2013,2013,1750,4.7,France,Dessert wine,84.654,85,76.596,https://www.vivino.com/DK/en/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=2013&price_id=6061785
