Gran Enemigo 2014,2014,499.95,4.5,2850,Argentina
1300 Malbec 2017,2017,110,3.6,2834,Argentina
Le Difese 2017,2017,159.95,3.7,2832,Italy
Ca'Marcanda Promis Toscana 2017,2017,269.95,4.1,2830,Italy
Red 2013,2013,269,4.2,2823,Spain
Barbaresco 2013,2013,269.95,3.9,2762,Italy
Cabernet Sauvignon 2014,2014,799,4.4,2748,United States
Malbec 2015,2015,299.95,4.2,2746,Argentina
Amicone 2017,2017,65,4.0,2736,Italy
Badia a Passignano Gran Selezione Chianti Classico 2015,2015,369,4.3,2731,Italy
Indian Wells Cabernet Sauvignon 2017,2017,239,4.0,2718,United States
Rioja Gran Reserva 2009,2009,225,3.9,2710,Spain
Kadette Cape Blend 2015,2015,149,3.8,2706,South Africa
Dairyman Vineyard Pinot Noir 2017,2017,319,4.4,2659,United States
Malbec Argentino 2011,2011,595,4.1,2656,Argentina
Curioso Grand Edizione 2016,2016,149,4.0,2653,Italy
Malbec 2013,2013,299.95,4.2,2651,Argentina
Viña Tondonia Reserva 2008,2008,325,4.3,2622,Spain
Carmenère 2015,2015,179,4.0,2619,Chile
Old Vine Malbec 2015,2015,159.95,4.2,2605,Argentina
337 Cabernet Sauvignon 2017,2017,139,3.8,2593,United States
Malleolus 2017,2017,245,4.3,2592,Spain
Silencio 2018,2018,149,4.0,2589,Spain
Pizzella Malbec (Pizzella Family Vineyard) 2017,2017,99.95,4.0,2585,Argentina
Nebbiolo Langhe 2018,2018,149.95,3.8,2568,Italy
Belleruche Côtes-du-Rhône 2018,2018,269,3.7,2558,France
Viña Bosconia Reserva 2007,2007,275,4.2,2515,Spain
Reserva Rioja (Finca Ygay) 2016,2016,159,4.1,2500,Spain
HANDS OF TIME Red 2014,2014,279,4.1,2498,United States
Cabernet Sauvignon 2017,2017,349,4.1,2494,United States
Riserva Cannonau di Sardegna 2017,2017,149,3.8,2454,Italy
Flor de Pingus 2010,2010,1395,4.5,2452,Spain
Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2013,2013,1000,4.4,2435,Italy
Flor de Pingus 2012,2012,995,4.4,2420,Spain
Pauillac (Grand Cru Classé) 2009,2009,1995,4.7,2411,France
